f_name,intended_ratio,experiment,low_signal
"190302 : ""+ESI Scan (rt: 7.200-7.994 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074436_F8a.d  Deconvoluted (Isotope Width=0.0)""
",0.3,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.200-7.994 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074437_F3a.d  Deconvoluted (Isotope Width=0.0)""
",0.75,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.201-7.995 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074434_D4d.d  Deconvoluted (Isotope Width=0.0)""
",0.6,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.202-7.996 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074433_B7c.d  Deconvoluted (Isotope Width=0.0)""
",0.0,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.202-7.996 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074433_C3c.d  Deconvoluted (Isotope Width=0.0)""
",0.0,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.202-7.996 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074433_C5c.d  Deconvoluted (Isotope Width=0.0)""
",0.0,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.203-7.996 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074434_G10a.d  Deconvoluted (Isotope Width=0.0)""
",0.7,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.203-7.996 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074436_E4a.d  Deconvoluted (Isotope Width=0.0)""
",0.3,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.203-7.997 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074436_C6c_2.d  Deconvoluted (Isotope Width=0.0)""
",0.2,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.204-7.998 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074433_B9c.d  Deconvoluted (Isotope Width=0.0)""
",0.0,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.204-7.998 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074436_E9c.d  Deconvoluted (Isotope Width=0.0)""
",0.3,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.206-7.999 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074434_G3a.d  Deconvoluted (Isotope Width=0.0)""
",0.7,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.206-8.000 min, 49 scans) Frag=250.0V NUDT7A_p026_CI074436_E3a.d  Deconvoluted (Isotope Width=0.0)""
",0.3,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.208-7.985 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074433_A6d.d  Deconvoluted (Isotope Width=0.0)""
",0.0,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.208-7.985 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074437_C8a.d  Deconvoluted (Isotope Width=0.0)""
",1.0,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.208-7.985 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074437_E5a.d  Deconvoluted (Isotope Width=0.0)""
",0.75,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.209-7.986 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074434_B10c.d  Deconvoluted (Isotope Width=0.0)""
",0.6,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.209-7.986 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074436_C10c.d  Deconvoluted (Isotope Width=0.0)""
",0.2,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.210-7.987 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074434_D4c.d  Deconvoluted (Isotope Width=0.0)""
",0.6,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.210-7.987 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074436_C12c.d  Deconvoluted (Isotope Width=0.0)""
",0.2,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.211-7.989 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074437_A10a.d  Deconvoluted (Isotope Width=0.0)""
",1.0,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.212-7.989 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074434_C2c.d  Deconvoluted (Isotope Width=0.0)""
",0.6,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.212-7.989 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074436_C6c.d  Deconvoluted (Isotope Width=0.0)""
",0.2,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.212-7.990 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074434_F11a.d  Deconvoluted (Isotope Width=0.0)""
",0.7,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.213-7.990 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074436_E6a.d  Deconvoluted (Isotope Width=0.0)""
",0.3,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.214-7.991 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074434_G9a.d  Deconvoluted (Isotope Width=0.0)""
",0.7,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 7.214-7.991 min, 48 scans) Frag=250.0V NUDT7A_p026_CI074436_D9c.d  Deconvoluted (Isotope Width=0.0)""
",0.2,crystal_mass_spec,False
"190302 : ""+ESI Scan (rt: 8.307-8.886 min, 36 scans) Frag=250.0V NUDT7A_p026_CI074437_A11c.d  Deconvoluted (Isotope Width=0.0)""
",1.0,crystal_mass_spec,False
190402_NUDT7A_p026_pre_xtal_0L_100U,0.0,pre_xtal,False
190402_NUDT7A_p026_pre_xtal_100L_0U,1.0,pre_xtal,False
190402_NUDT7A_p026_pre_xtal_10L_90U,0.1,pre_xtal,False
190402_NUDT7A_p026_pre_xtal_20L_80U,0.2,pre_xtal,False
190402_NUDT7A_p026_pre_xtal_30L_70U,0.3,pre_xtal,False
190402_NUDT7A_p026_pre_xtal_40L_60U,0.4,pre_xtal,False
190402_NUDT7A_p026_pre_xtal_50L_50U,0.5,pre_xtal,False
190402_NUDT7A_p026_pre_xtal_60L_40U,0.6,pre_xtal,False
190402_NUDT7A_p026_pre_xtal_70L_30U,0.7,pre_xtal,False
190402_NUDT7A_p026_pre_xtal_80L_20U,0.8,pre_xtal,False
190402_NUDT7A_p026_pre_xtal_90L_10U,0.9,pre_xtal,False
190506_NUDT7A_p026_NUDT7A_0_0,0.0,calibration,False
190506_NUDT7A_p026_NUDT7A_0_0_a,0.0,calibration,False
190506_NUDT7A_p026_NUDT7A_0_0_c,0.0,calibration,False
190506_NUDT7A_p026_NUDT7A_0_0_d,0.0,calibration,False
190506_NUDT7A_p026_NUDT7A_0_1,0.076,calibration,False
190506_NUDT7A_p026_NUDT7A_0_1_a,0.076,calibration,False
190506_NUDT7A_p026_NUDT7A_0_1_c,0.076,calibration,False
190506_NUDT7A_p026_NUDT7A_0_1_d,0.076,calibration,False
190506_NUDT7A_p026_NUDT7A_0_2,0.145,calibration,False
190506_NUDT7A_p026_NUDT7A_0_2_a,0.145,calibration,False
190506_NUDT7A_p026_NUDT7A_0_2_c,0.145,calibration,False
190506_NUDT7A_p026_NUDT7A_0_2_d,0.145,calibration,False
190506_NUDT7A_p026_NUDT7A_0_3,0.226,calibration,False
190506_NUDT7A_p026_NUDT7A_0_3_a,0.226,calibration,False
190506_NUDT7A_p026_NUDT7A_0_3_c,0.226,calibration,False
190506_NUDT7A_p026_NUDT7A_0_3_d,0.226,calibration,False
190506_NUDT7A_p026_NUDT7A_0_4,0.313,calibration,False
190506_NUDT7A_p026_NUDT7A_0_4_a,0.313,calibration,False
190506_NUDT7A_p026_NUDT7A_0_4_c,0.313,calibration,False
190506_NUDT7A_p026_NUDT7A_0_4_d,0.313,calibration,False
190506_NUDT7A_p026_NUDT7A_0_5,0.406,calibration,False
190506_NUDT7A_p026_NUDT7A_0_5_a,0.406,calibration,False
190506_NUDT7A_p026_NUDT7A_0_5_c,0.406,calibration,False
190506_NUDT7A_p026_NUDT7A_0_5_d,0.406,calibration,False
190506_NUDT7A_p026_NUDT7A_0_6,0.506,calibration,False
190506_NUDT7A_p026_NUDT7A_0_6_a,0.506,calibration,False
190506_NUDT7A_p026_NUDT7A_0_6_c,0.506,calibration,False
190506_NUDT7A_p026_NUDT7A_0_6_d,0.506,calibration,False
190506_NUDT7A_p026_NUDT7A_0_7,0.614,calibration,False
190506_NUDT7A_p026_NUDT7A_0_7_a,0.614,calibration,False
190506_NUDT7A_p026_NUDT7A_0_7_c,0.614,calibration,False
190506_NUDT7A_p026_NUDT7A_0_7_d,0.614,calibration,False
190506_NUDT7A_p026_NUDT7A_0_8,0.732,calibration,False
